targ2 targid	density	tar_len at_mass    at_no	a_dens	lumdata	cfac
lh2		1	0.0723	9.9659	1.0079	1	0.720535	2687.06	0.996
ld2		2	0.1670	9.9682	2.0140	2	1.664689	3106.80	0.996
c12		3	2.1900	0.2394	12.0110	6	0.516700	161.70	1.000
aldn		7	2.7000	0.0673	26.9815	13	0.181700	25.31	1.000
alup		8	2.7000	0.0673	26.9815	13	0.181700	25.31	1.000
