run,Ps3,Ps4,BCM1I,BCM2I,BCM4AI,BCM4CI,BCM1Q,BCM2Q,BCM4AQ,BCM4CQ,Ps3HMSCLT,Ps4HMSCLT,trkEff,hTRIG3,hTRIG4
5541.0,-1.0,1.0,10.167,10.094,9.944,14.105,18195.42,18065.676,17796.541,25243.323,-0.1778,0.9999,0.9969,2005210.0,352386.0
4456.0,-1.0,1.0,19.562,19.55,19.463,22.767,69874.329,69834.231,69522.965,81325.252,-0.6325,0.997,0.9966,7166560.0,4544635.0
2203.0,-1.0,-1.0,13.085,13.722,13.684,13.681,15742.42,16508.588,16463.362,16459.941,-0.2023,-0.3372,0.9978,3766890.0,2255182.0
6365.0,1e+38,1e+38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+36,1e+36,0.0,0.0,0.0
1582.0,-1.0,-1.0,9.658,9.659,9.601,9.618,33266.247,33267.699,33070.169,33127.198,-0.1716,-0.175,0.9974,41609589.0,34104293.0
4780.0,-1.0,1.0,200.508,148.127,106.01,760.307,850117.655,628033.13,449462.912,3223570.992,-0.0,0.0,0.0,4294964966.0,4294965089.0
5697.0,-1.0,1.0,10.221,10.167,10.076,14.335,18154.255,18057.842,17896.481,25462.218,-0.177,0.9997,0.9961,2000753.0,352963.0
5732.0,-1.0,1.0,9.92,9.857,9.725,13.784,8053.143,8001.666,7894.462,11189.921,-0.2103,0.9999,0.9968,890011.0,156223.0
3167.0,-1.0,-1.0,5.943,5.937,5.867,6.682,7261.574,7254.4,7168.829,8164.675,-0.0971,-0.1273,0.9978,3473829.0,2648604.0
4625.0,-1.0,1.0,4.808,4.863,4.82,5.588,6818.352,6896.734,6835.165,7924.857,-0.277,1.0,0.9971,984725.0,260503.0
2070.0,-1.0,-1.0,9.628,9.678,9.638,9.654,12167.091,12229.407,12179.281,12199.576,-0.0122,-0.0153,0.9974,21015316.0,16678666.0
3139.0,-1.0,-1.0,14.229,28.185,14.14,16.206,43098.343,85370.577,42828.85,49086.78,-0.2989,-0.3942,0.9975,21017580.0,15933274.0
1954.0,-1.0,-1.0,27.083,27.116,27.072,27.118,61124.228,61197.001,61097.695,61202.192,-0.1361,-0.1798,0.9975,5247362.0,3970669.0
6455.0,-1.0,1.0,6.009,5.965,5.875,8.267,7671.953,7615.302,7501.184,10554.695,-0.2761,0.9993,0.9974,1628498.0,435197.0
4115.0,-1.0,-1.0,14.777,14.787,14.746,17.291,50418.079,50449.746,50309.687,58994.067,-0.3819,-0.529,0.9958,10493665.0,7574892.0
5002.0,-1.0,-1.0,6.799,6.859,6.766,7.827,13845.992,13968.345,13779.674,15940.899,-0.2129,-0.464,0.9966,22000741.0,10094767.0
4408.0,-1.0,1.0,19.508,19.504,19.405,22.691,72711.597,72696.194,72328.933,84577.374,-0.6326,0.998,0.9964,7458915.0,4726546.0
3909.0,-1.0,-1.0,28.271,28.54,28.376,33.017,22507.287,22721.109,22590.404,26285.123,-0.3802,-0.5659,0.9964,2438980.0,1634085.0
4366.0,-1.0,1.0,19.902,19.866,19.726,23.044,52230.152,52135.882,51769.957,60475.495,-0.6321,0.9977,0.9968,5369444.0,3401673.0
5997.0,-1.0,1.0,15.85,15.798,15.608,22.186,27319.649,27229.303,26901.248,38239.893,-0.2431,0.994,0.9964,4949724.0,1203465.0
5271.0,-1.0,1.0,14.537,14.568,14.436,16.927,24232.24,24285.295,24065.01,28216.575,-0.4317,0.9968,0.9968,5412290.0,2341467.0
6148.0,-1.0,2.0,10.078,10.022,9.907,14.077,16826.318,16734.137,16541.965,23504.543,-0.0746,0.9988,0.9955,44565955.0,6649880.0
4925.0,-1.0,1.0,11.846,11.825,11.74,12.993,319.535,318.973,316.69,350.491,-0.1006,0.3615,0.9975,45310.0,10907.0
5832.0,-1.0,1.0,12.143,12.092,11.962,17.053,20452.731,20366.144,20148.164,28723.428,-0.171,0.9998,0.9965,2249695.0,381628.0
2496.0,-1.0,-1.0,9.944,9.944,9.868,9.99,683.071,683.069,677.881,686.257,-0.1259,-0.1656,0.9972,73733.0,56063.0
1622.0,-1.0,-1.0,26.352,26.467,26.409,26.441,40537.994,40714.139,40624.648,40674.33,-0.062,-0.0783,0.9972,19175033.0,15166140.0
5259.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,-0.0004,0.0,0.0,0.0
3921.0,-1.0,1.0,9.975,9.984,9.895,11.529,12049.955,12060.258,11952.664,13926.664,-0.7097,0.9965,0.9965,3267826.0,2327411.0
4585.0,-1.0,1.0,3.885,3.901,3.873,4.481,452.779,454.669,451.381,522.274,-0.2215,0.9996,0.9981,236884.0,51686.0
2836.0,-1.0,-1.0,6.924,6.903,6.849,6.918,9915.741,9884.799,9807.38,9906.048,-0.1764,-0.241,0.9974,2045268.0,1496501.0
5537.0,-1.0,1.0,17.8,17.688,17.412,24.769,32253.574,32050.172,31549.957,44882.26,-0.1698,0.9999,0.9975,1674559.0,281239.0
2993.0,-1.0,-1.0,7.816,7.853,6.582,7.225,833.037,836.976,701.557,770.11,-0.284,-0.4598,0.9979,662683.0,409348.0
2275.0,-1.0,-1.0,11.193,11.421,11.289,11.458,21359.2,21794.461,21541.327,21863.591,-0.3656,-0.5969,0.9977,12435969.0,7611133.0
4420.0,-1.0,1.0,198.974,146.744,103.992,745.441,6884243.593,5077176.159,3598007.186,25791352.388,-0.0,0.0,0.996,34359934924.0,34359865816.0
3884.0,-1.0,-1.0,35.866,35.865,35.766,41.719,121838.434,121835.624,121501.577,141721.838,-0.1877,-0.6247,0.9999,376992.0,39764.0
