run,		Ps3,		Ps4,		BCM1I,		BCM2I,		BCM4AI,		BCM4CI,		BCM1Q,		BCM2Q,		BCM4AQ,		BCM4CQ,		Ps3HMSCLT,		Ps4HMSCLT,		trkEff,		hTRIG3,		hTRIG4
3409,		-1,		1,		18.053,		19.284,		19.187,		22.108,		41578.411,		44414.031,		44189.243,		50918.224,		-0.6705,		0.9997,		0.9975,		1375900,		920148
6478,		-1,		1,		10.822,		10.779,		10.623,		15.071,		18719.25,		18645.061,		18374.368,		26069.365,		-0.3122,		0.9991,		0.9975,		2669540,		830219
6316,		-1,		1,		28.735,		28.57,		28.254,		40.172,		49289.58,		49007.029,		48463.791,		68907.063,		-0.6594,		0.9979,		0.9961,		1405395,		927511
6348,		-1,		1,		28.314,		28.187,		27.92,		39.707,		42078.049,		41888.804,		41493.46,		59009.845,		-0.6624,		0.9986,		0.9962,		1206750,		797028
6426,		-1,		1,		6.167,		6.133,		6.022,		8.482,		10140.1,		10083.734,		9900.586,		13945.249,		-0.2692,		0.999,		0.9973,		2142838,		574649
4608,		-1,		1,		3.052,		3.066,		3.049,		3.507,		5045.496,		5067.256,		5040.279,		5797.408,		-0.2201,		0.9908,		0.9975,		2615800,		578262
5841,		-1,		1,		20.142,		20.051,		19.859,		28.33,		36186.926,		36022.961,		35679.312,		50898.261,		-0.2461,		0.9999,		0.9962,		912432,		223487
1679,		9,		-1,		26.848,		27.879,		27.747,		27.761,		28962.628,		30074.775,		29932.247,		29947.339,		0.9984,		-0.112,		0.9973,		15511991,		12955835
6005,		-1,		1,		8.219,		8.18,		8.069,		11.45,		14837.62,		14767.879,		14566.997,		20671.591,		-0.2082,		0.9981,		0.9961,		3909046,		813908
4868,		-1,		1,		7.661,		7.744,		7.693,		8.923,		11678.921,		11805.826,		11728.232,		13604.193,		-0.2073,		1.0007,		0.9968,		6268864,		1296286
5299,		-1,		1,		18.445,		18.454,		18.309,		21.457,		28804.871,		28818.794,		28592.055,		33508.194,		-0.4317,		0.996,		0.9967,		6427131,		2775230
5452,		-1,		1,		9.661,		9.712,		9.645,		11.283,		21263.156,		21375.278,		21228.323,		24832.33,		-0.4364,		0.9988,		0.9967,		4761680,		2075097
4693,		-1,		1,		11.693,		11.858,		11.819,		13.805,		19411.896,		19685.931,		19619.973,		22917.163,		-0.2395,		0.9998,		0.9966,		2763788,		658980
6518,		-1,		1,		5.977,		5.942,		5.842,		8.222,		10425.852,		10364.377,		10190.285,		14340.764,		-0.2618,		0.9968,		0.9964,		5565307,		1446280
5784,		-1,		1,		19.735,		19.631,		19.383,		27.605,		18137.955,		18042.68,		17814.324,		25371.713,		-0.2481,		1.0,		0.9981,		455650,		111829
5621,		-1,		1,		10.309,		10.257,		10.15,		14.443,		655.092,		651.832,		645.022,		917.812,		-0.1557,		0.8748,		0.9965,		72106,		12836
4736,		-1,		1,		11.237,		11.346,		11.291,		13.189,		9237.281,		9326.8,		9281.662,		10841.35,		-0.254,		0.9998,		0.9966,		1314056,		313689
6546,		-1,		1,		6.198,		6.153,		6.039,		8.503,		10773.078,		10694.962,		10496.28,		14780.123,		-0.2591,		0.9958,		0.9962,		5753730,		1494937
6228,		-1,		1,		19.495,		19.393,		19.16,		27.285,		38662.151,		38458.989,		37998.006,		54110.885,		-0.5223,		0.9992,		0.9947,		1426364,		745496
5884,		-1,		1,		20.073,		20.039,		19.851,		28.303,		18361.369,		18330.35,		18158.163,		25888.786,		-0.2494,		1.0,		0.9963,		465195,		113974
5362,		-1,		1,		22.804,		22.841,		22.68,		26.533,		38416.096,		38477.073,		38206.522,		44697.487,		-0.5259,		0.9994,		0.997,		2659634,		1397771
4836,		-1,		1,		7.822,		7.909,		7.871,		9.167,		13915.579,		14068.687,		14001.496,		16306.671,		-0.2075,		0.999,		0.9946,		7455576,		1544193
6742,		-1,		1,		10.079,		10.082,		9.904,		14.034,		17345.996,		17350.791,		17044.817,		24151.941,		-0.1763,		0.9999,		0.9973,		1938727,		338116
4841,		-1,		1,		7.918,		8.007,		7.965,		9.282,		13571.617,		13724.049,		13652.58,		15909.457,		-0.2064,		0.9987,		0.995,		7280275,		1504081
5956,		-1,		1,		4.228,		4.201,		4.148,		5.773,		7800.797,		7749.95,		7652.351,		10651.326,		-0.1481,		0.9897,		0.997,		20256558,		3030349
6189,		-1,		1,		26.559,		26.435,		26.144,		37.193,		16526.035,		16448.726,		16267.741,		23142.997,		-0.6829,		0.9989,		0.9964,		474348,		313081
5315,		-1,		3,		18.242,		18.272,		18.116,		21.225,		14515.416,		14539.329,		14415.563,		16889.412,		-0.1435,		0.9934,		0.9967,		3239949,		1402372
6531,		-1,		1,		11.344,		11.269,		11.088,		15.732,		20461.732,		20327.227,		20000.889,		28377.669,		-0.3041,		0.9969,		0.9963,		3518170,		1073076
5608,		-1,		1,		17.125,		17.038,		16.878,		24.06,		26726.76,		26591.107,		26342.317,		37551.934,		-0.1746,		1.0,		0.9963,		1390677,		236092
6201,		-1,		1,		18.902,		18.833,		18.619,		26.496,		31103.558,		30989.915,		30637.889,		43598.086,		-0.5769,		0.9916,		0.9959,		2635431,		1531250
5656,		-1,		1,		18.045,		17.96,		17.815,		25.429,		33215.209,		33058.98,		32791.42,		46807.177,		-0.1688,		1.0,		0.996,		1726661,		289260
4741,		-1,		1,		11.615,		11.755,		11.705,		13.671,		3779.523,		3824.879,		3808.863,		4448.613,		-0.2583,		0.9999,		0.9968,		539260,		128905
2114,		3,		-1,		14.237,		14.337,		14.337,		14.357,		235.266,		236.91,		236.92,		237.25,		0.9191,		-0.3087,		0.9981,		158863,		129055
6072,		-1,		1,		15.058,		14.972,		14.79,		21.013,		23679.628,		23544.183,		23258.379,		33043.934,		-0.2436,		0.994,		0.9969,		4272144,		1041499
5908,		-1,		1,		7.093,		7.052,		6.983,		9.878,		10911.257,		10847.459,		10741.637,		15195.749,		-0.1731,		0.9958,		0.9973,		7100259,		1224694
5425,		-1,		1,		17.31,		17.309,		17.214,		20.162,		30006.761,		30005.374,		29841.067,		34950.559,		-0.53,		0.9994,		0.9972,		2094337,		1109519
5580,		-1,		1,		10.202,		10.143,		10.025,		14.254,		17880.957,		17777.645,		17571.536,		24982.253,		-0.1769,		0.9999,		0.9971,		1971801,		346949
5993,		-1,		1,		16.084,		16.023,		15.828,		22.505,		27967.556,		27861.551,		27523.57,		39133.592,		-0.2421,		0.9945,		0.9964,		5053694,		1228116
5275,		-1,		1,		14.612,		14.65,		14.518,		17.02,		25286.567,		25351.522,		25122.452,		29452.92,		-0.4319,		0.9967,		0.9969,		5648752,		2446685
4884,		-1,		1,		11.17,		11.266,		11.181,		12.999,		21138.91,		21321.993,		21161.243,		24600.825,		-0.2394,		0.9994,		0.9969,		3020909,		716992
4921,		-1,		1,		7.689,		7.678,		7.614,		8.604,		9077.256,		9064.544,		8988.482,		10157.866,		-0.2472,		0.9999,		0.9971,		1296369,		318505
5836,		-1,		1,		11.97,		11.917,		11.795,		16.814,		19673.804,		19586.005,		19386.045,		27633.736,		-0.1728,		0.9998,		0.996,		2166128,		369867
3098,		3,		-1,		12.321,		12.306,		12.202,		14.038,		13623.614,		13606.808,		13491.785,		15521.375,		0.995,		-0.3356,		0.9974,		10838608,		6632393
5693,		-1,		1,		10.034,		9.981,		9.893,		14.075,		16884.107,		16794.445,		16646.563,		23682.09,		-0.1793,		0.9999,		0.9959,		1860046,		328969
5736,		-1,		1,		9.915,		9.847,		9.726,		13.796,		15224.825,		15120.654,		14934.509,		21183.094,		-0.1818,		0.9999,		0.9965,		1682996,		295433
2074,		3,		-1,		13.915,		14.674,		14.622,		14.637,		246.487,		259.936,		259.01,		259.28,		0.1631,		-0.0548,		0.9978,		449413,		356232
6361,		-1,		1,		19.157,		19.059,		18.838,		26.777,		33717.462,		33545.715,		33156.268,		47130.595,		-0.524,		1.0001,		0.9963,		1247019,		652657
2844,		3,		-1,		30.525,		30.476,		30.374,		30.817,		37518.796,		37459.489,		37333.85,		37878.235,		0.9995,		-0.3348,		0.9974,		3213103,		2420343
5545,		-1,		1,		10.106,		10.034,		9.891,		14.035,		18300.608,		18170.417,		17911.34,		25415.543,		-0.1783,		0.9996,		0.9976,		2019661,		355288
6112,		-1,		1,		16.235,		16.21,		15.986,		22.742,		29642.984,		29596.14,		29187.1,		41522.201,		-0.2419,		0.9957,		0.9967,		5378767,		1306512
