run,		Ps3,		Ps4,		BCM1I,		BCM2I,		BCM4AI,		BCM4CI,		BCM1Q,		BCM2Q,		BCM4AQ,		BCM4CQ,		Ps3HMSCLT,		Ps4HMSCLT,		trkEff,		hTRIG3,		hTRIG4
5543,		-1,		1,		10.017,		9.946,		9.802,		13.907,		18402.142,		18272.177,		18006.321,		25548.059,		-0.1785,		0.9999,		0.9974,		2028503,		357315
4627,		-1,		1,		4.955,		5.007,		4.957,		5.751,		8153.108,		8238.554,		8157.219,		9463.591,		-0.2664,		0.9999,		0.9971,		1176738,		309838
6409,		-1,		1,		11.173,		11.126,		10.97,		15.575,		19517.436,		19436.447,		19163.123,		27207.285,		-0.3126,		0.9991,		0.9972,		2651759,		828387
5695,		-1,		1,		9.96,		9.906,		9.821,		13.97,		17076.74,		16985.05,		16839.631,		23952.138,		-0.1791,		0.9999,		0.9962,		1881125,		334144
6457,		-1,		1,		6.127,		6.086,		5.993,		8.438,		10640.173,		10568.664,		10407.777,		14654.314,		-0.2673,		0.9993,		0.9972,		2257074,		601271
4679,		-1,		1,		5.986,		6.064,		6.026,		7.013,		7274.622,		7368.917,		7322.995,		8522.212,		-0.2111,		0.9996,		0.9966,		3867239,		816090
6339,		-1,		1,		10.127,		10.079,		9.933,		14.084,		12840.352,		12780.065,		12594.446,		17858.138,		-0.5923,		0.9994,		0.9966,		1100607,		652062
5830,		-1,		1,		11.596,		11.54,		11.42,		16.27,		18956.375,		18865.85,		18669.539,		26597.65,		-0.1738,		0.9998,		0.9971,		2086382,		357503
4882,		-1,		1,		11.439,		11.543,		11.459,		13.313,		14876.306,		15012.465,		14902.845,		17314.208,		-0.2332,		0.9819,		0.9971,		2129886,		504451
5273,		-1,		1,		14.596,		14.632,		14.5,		17.003,		19610.922,		19659.493,		19482.097,		22845.019,		-0.4337,		0.9953,		0.9968,		4377269,		1897744
5995,		-1,		1,		16.121,		16.046,		15.848,		22.53,		27575.377,		27447.311,		27108.323,		38537.602,		-0.2427,		0.9962,		0.9963,		4983969,		1209010
6471,		-1,		1,		6.217,		6.18,		6.077,		8.563,		10823.183,		10758.514,		10578.63,		14907.113,		-0.2586,		0.9959,		0.9973,		5787276,		1501363
5748,		-1,		1,		9.643,		9.578,		9.447,		13.399,		17707.208,		17587.033,		17347.658,		24604.162,		-0.1822,		0.9998,		0.9972,		1955353,		344895
5816,		-1,		1,		12.082,		12.017,		11.881,		16.917,		14242.293,		14165.01,		14005.261,		19941.372,		-0.2889,		1.0,		0.9969,		377183,		105922
4901,		-1,		1,		7.725,		7.803,		7.718,		8.944,		12489.995,		12615.747,		12478.259,		14460.901,		-0.2072,		0.9986,		0.9966,		6701022,		1380817
3400,		-1,		1,		9.364,		9.928,		9.85,		11.348,		23307.487,		24712.453,		24516.743,		28246.33,		-0.5965,		0.9997,		0.9974,		2147806,		1278113
4589,		-1,		1,		4.833,		4.857,		4.808,		5.575,		3480.964,		3498.717,		3462.891,		4015.48,		-0.2683,		0.9999,		0.9976,		499765,		131944
2279,		3,		-1,		10.705,		11.038,		10.896,		11.066,		6869.95,		7083.526,		6992.402,		7101.657,		0.995,		-0.3343,		0.9977,		4042354,		2474065
5565,		-1,		1,		18.089,		17.987,		17.785,		25.343,		38704.745,		38486.143,		38052.717,		54225.355,		-0.2558,		0.9999,		0.9968,		986002,		248042
6097,		-1,		1,		7.938,		59.986,		7.768,		11.022,		13683.63,		103401.646,		13390.315,		18999.208,		-0.1985,		0.9892,		0.9962,		9913359,		1982321
5848,		-1,		1,		19.284,		19.204,		19.029,		27.129,		33217.51,		33079.206,		32776.909,		46729.195,		-0.2624,		1.0,		0.9958,		840288,		207239
6132,		-1,		1,		8.354,		8.306,		8.177,		11.617,		19841.996,		19728.953,		19422.681,		27592.156,		-0.1979,		0.9905,		0.9964,		14407556,		2877596
4601,		-1,		1,		4.853,		4.874,		4.818,		5.589,		7755.174,		7788.936,		7700.243,		8931.881,		-0.2291,		0.9999,		0.9978,		1719002,		387299
2054,		3,		-1,		24.572,		25.307,		25.239,		25.256,		5709.528,		5880.295,		5864.564,		5868.496,		0.7072,		-0.238,		0.9973,		3945357,		3187024
5716,		-1,		1,		17.528,		17.442,		17.306,		24.676,		28568.578,		28428.558,		28207.523,		40220.355,		-0.2618,		1.0,		0.9955,		727565,		185089
6341,		-1,		1,		28.777,		28.639,		28.268,		40.191,		53030.176,		52777.126,		52093.331,		74064.3,		-0.6577,		0.998,		0.9966,		1519849,		1000424
3788,		-1,		1,		19.816,		19.845,		19.926,		23.405,		24587.114,		24623.004,		24724.131,		29040.825,		-0.6442,		0.7723,		0.9922,		12098368,		10091729
6511,		-1,		1,		6.273,		6.236,		6.136,		8.647,		11676.914,		11608.235,		11421.429,		16096.623,		-0.2581,		0.9949,		0.9964,		6242841,		1618801
5335,		-1,		1,		14.44,		14.452,		14.308,		16.748,		25304.163,		25325.894,		25074.409,		29349.099,		-0.4324,		0.9966,		0.997,		5655759,		2453223
4861,		-1,		1,		11.27,		11.397,		11.342,		13.208,		10291.54,		10407.298,		10357.197,		12061.119,		-0.2381,		0.9955,		0.9963,		1467310,		347659
5928,		-1,		1,		4.146,		4.123,		4.069,		5.668,		7067.617,		7028.47,		6936.667,		9661.072,		-0.1475,		0.989,		0.9967,		18361414,		2733006
6052,		-1,		1,		8.116,		8.08,		7.957,		11.298,		14975.021,		14908.617,		14680.784,		20846.582,		-0.1982,		0.9908,		0.9964,		10870559,		2170591
3250,		3,		-1,		33.633,		33.621,		33.494,		38.476,		60879.64,		60859.089,		60629.78,		69647.803,		0.9976,		-0.334,		0.9977,		11639437,		9232637
6221,		-1,		1,		26.683,		26.577,		26.265,		37.402,		47600.946,		47411.689,		46854.935,		66721.305,		-0.6614,		0.999,		0.9955,		1348907,		891625
6384,		-1,		1,		19.591,		19.512,		19.255,		27.363,		34910.318,		34769.665,		34311.648,		48760.932,		-0.5764,		0.9925,		0.9969,		2961796,		1718776
5676,		-1,		1,		17.158,		17.077,		16.95,		24.182,		13234.506,		13172.113,		13074.781,		18653.187,		-0.3367,		1.0,		0.9955,		338820,		87129
4749,		-1,		1,		11.634,		11.753,		11.68,		13.634,		7581.219,		7658.832,		7611.141,		8884.917,		-0.2688,		0.9999,		0.9965,		345564,		92905
6567,		-1,		1,		10.913,		10.843,		10.69,		15.165,		19872.174,		19746.18,		19467.432,		27615.372,		-0.3055,		0.997,		0.9964,		3455695,		1056305
6209,		-1,		1,		19.217,		19.111,		18.844,		26.797,		31913.06,		31737.415,		31293.665,		44500.82,		-0.5766,		0.9922,		0.9957,		2700017,		1567611
5588,		-1,		1,		10.096,		10.039,		9.948,		14.146,		18839.368,		18734.125,		18563.669,		26397.698,		-0.1792,		0.9999,		0.9969,		2086229,		367899
5343,		-1,		1,		14.408,		14.439,		14.257,		16.648,		8120.744,		8137.993,		8035.572,		9383.491,		-0.4322,		0.9962,		0.9972,		1759960,		762816
4817,		-1,		1,		11.769,		11.909,		11.878,		13.872,		4335.14,		4386.693,		4375.035,		5109.709,		-0.2876,		1.0006,		0.9967,		616856,		145663
6024,		-1,		1,		7.991,		7.948,		7.827,		11.102,		13779.144,		13705.476,		13496.605,		19143.54,		-0.1978,		0.9883,		0.9963,		9997724,		1998226
2789,		3,		-1,		33.005,		32.953,		32.72,		33.129,		40913.61,		40849.329,		40559.992,		41067.392,		0.9997,		-0.3347,		0.9974,		3478340,		2606371
6257,		-1,		1,		19.443,		19.37,		19.134,		27.248,		24710.315,		24618.223,		24318.072,		34630.012,		-0.6692,		0.9993,		0.995,		716803,		479291
6539,		-1,		1,		6.192,		6.152,		6.044,		8.512,		10378.296,		10311.431,		10130.683,		14267.732,		-0.2595,		0.9961,		0.9961,		5543311,		1440470
4717,		-1,		1,		7.719,		7.812,		7.756,		9.044,		6878.762,		6961.462,		6911.929,		8060.259,		-0.212,		0.9768,		0.9965,		3679595,		766392
5600,		-1,		1,		17.826,		17.731,		17.562,		25.043,		28915.884,		28761.423,		28487.384,		40621.654,		-0.2554,		1.0,		0.9968,		739746,		186733
6407,		-1,		1,		10.991,		10.945,		10.798,		15.332,		17847.972,		17773.136,		17535.249,		24896.534,		-0.3143,		0.999,		0.9971,		2427232,		758916
4629,		-1,		1,		4.936,		4.991,		4.942,		5.732,		8272.711,		8365.656,		8282.424,		9607.585,		-0.2659,		0.9999,		0.9973,		1194303,		314397
1658,		9,		-1,		26.628,		27.391,		27.349,		27.384,		48711.043,		50107.854,		50030.026,		50095.064,		0.9921,		-0.1114,		0.9973,		25805055,		21546080
5860,		-1,		1,		12.114,		12.074,		11.962,		17.044,		21031.15,		20961.268,		20766.453,		29590.315,		-0.1706,		0.9993,		0.9964,		2317452,		393839
5386,		-1,		1,		15.874,		15.905,		15.815,		18.533,		28486.903,		28542.597,		28381.805,		33258.617,		-0.5272,		0.9933,		0.9967,		1996417,		1059581
2251,		3,		-1,		9.099,		9.559,		9.446,		8.991,		19169.059,		20137.543,		19899.435,		18940.65,		0.9978,		-0.3348,		0.9977,		11455104,		7015516
4929,		-1,		1,		7.809,		7.816,		7.749,		8.441,		14895.887,		14910.09,		14781.333,		16101.924,		-0.2059,		0.9981,		0.9964,		7921451,		1631179
4677,		-1,		1,		7.919,		7.977,		7.941,		9.264,		16457.608,		16578.4,		16503.42,		19252.285,		-0.2084,		0.9985,		0.9966,		8742961,		1823165
6459,		-1,		1,		6.132,		6.089,		5.993,		8.433,		10524.388,		10449.651,		10284.894,		14473.845,		-0.2584,		0.9956,		0.9973,		5618560,		1456025
6292,		-1,		1,		19.411,		19.321,		19.053,		27.089,		37147.593,		36973.933,		36461.183,		51840.99,		-0.5254,		0.9997,		0.9951,		1374606,		719357
6337,		-1,		1,		20.031,		19.952,		19.703,		28.024,		35234.848,		35095.148,		34656.619,		49293.897,		-0.5765,		0.9922,		0.9964,		2985331,		1734126
4600,		1,		-1,		4.996,		5.017,		4.96,		5.755,		5878.781,		5904.201,		5836.763,		6771.83,		0.9992,		-1.0011,		0.9977,		842601,		221569
2055,		5,		-1,		28.489,		28.78,		28.696,		28.705,		1083.215,		1094.293,		1091.091,		1091.419,		0.9721,		-0.197,		0.9973,		736621,		593627
5717,		-1,		1,		17.645,		17.557,		17.421,		24.839,		30528.692,		30376.819,		30142.203,		42977.153,		-0.2618,		1.0,		0.9962,		777758,		197637
6340,		-1,		2,		14.756,		14.68,		14.48,		20.585,		14586.61,		14512.182,		14313.952,		20349.142,		-0.2921,		0.9982,		0.9965,		1239626,		724811
5564,		-1,		1,		17.679,		17.578,		17.381,		24.768,		30490.854,		30316.689,		29977.078,		42716.335,		-0.2597,		0.9999,		0.9977,		778764,		197296
5849,		-1,		1,		12.209,		12.151,		12.032,		17.149,		17269.03,		17186.968,		17018.472,		24256.854,		-0.2821,		1.0,		0.9964,		458316,		128460
6133,		-1,		1,		8.307,		8.259,		8.133,		11.552,		18877.883,		18767.9,		18481.683,		26251.686,		-0.198,		0.9903,		0.9964,		13709407,		2738735
6096,		-1,		1,		8.006,		60.24,		7.84,		11.124,		12098.746,		91041.467,		11848.262,		16812.119,		-0.1983,		0.9867,		0.9965,		8776208,		1754343
5817,		-1,		1,		9.081,		9.03,		8.915,		12.676,		15060.858,		14975.526,		14784.689,		21023.021,		-0.3255,		1.0,		0.9971,		415798,		128590
4900,		-1,		1,		7.838,		7.919,		7.847,		9.092,		13801.685,		13944.067,		13816.303,		16009.176,		-0.2063,		0.9984,		0.9967,		7411727,		1530087
4588,		-1,		1,		2.205,		2.218,		2.241,		2.589,		3062.61,		3079.886,		3112.579,		3595.524,		-0.2338,		0.9999,		0.9975,		1564846,		360293
5749,		-1,		1,		9.937,		9.87,		9.731,		13.801,		20756.238,		20615.018,		20325.162,		28826.131,		-0.1779,		0.9999,		0.9968,		2290474,		401456
6470,		-1,		1,		6.191,		6.154,		6.051,		8.524,		13295.76,		13216.735,		12995.46,		18306.768,		-0.2592,		0.9964,		0.9974,		7111364,		1846416
6385,		-1,		1,		19.41,		19.324,		19.089,		27.144,		33873.555,		33723.557,		33314.871,		47371.569,		-0.5786,		0.9941,		0.9968,		2869545,		1666767
6220,		-1,		1,		26.832,		26.72,		26.408,		37.605,		50511.946,		50301.62,		49713.819,		70793.157,		-0.6611,		0.9986,		0.9954,		1426995,		943729
5677,		-1,		1,		17.702,		17.619,		17.481,		24.94,		17736.698,		17653.193,		17515.515,		24988.427,		-0.2577,		1.0,		0.9965,		454240,		114851
5929,		-1,		1,		4.092,		4.07,		4.019,		5.595,		7355.512,		7315.883,		7223.94,		10055.808,		-0.1476,		0.9901,		0.9966,		19097609,		2840150
6053,		-1,		1,		8.043,		8.01,		7.87,		11.163,		14019.395,		13961.374,		13718.122,		19456.904,		-0.1978,		0.9893,		0.9965,		10182926,		2030545
3251,		-1,		1,		22.868,		22.852,		22.739,		26.131,		59854.012,		59812.743,		59515.554,		68395.17,		-0.7873,		0.9897,		0.9977,		11499002,		9146701
6763,		-1,		1,		10.128,		10.132,		9.969,		14.136,		17751.656,		17758.63,		17471.768,		24776.283,		-0.1764,		0.9995,		0.9972,		1973334,		342867
4860,		-1,		1,		5.981,		6.045,		5.998,		6.95,		10935.091,		11052.579,		10965.722,		12707.116,		-0.2536,		0.9999,		0.9965,		1575323,		399607
5334,		-1,		1,		14.355,		14.372,		14.235,		16.668,		25536.41,		25566.67,		25323.401,		29650.533,		-0.4329,		0.9962,		0.997,		5707723,		2478689
6510,		-1,		1,		6.191,		6.149,		6.043,		8.509,		12243.711,		12161.098,		11951.606,		16829.537,		-0.2587,		0.9945,		0.9964,		6538873,		1698916
5629,		-1,		1,		10.01,		9.959,		9.867,		14.039,		17493.865,		17403.877,		17243.892,		24535.168,		-0.1805,		0.9999,		0.996,		1926309,		340426
6256,		-1,		1,		29.778,		29.632,		29.29,		41.72,		58989.958,		58700.327,		58023.079,		82646.011,		-0.6588,		0.9985,		0.9947,		1665753,		1098179
4716,		-1,		1,		7.604,		7.694,		7.642,		8.913,		12656.021,		12807.041,		12720.034,		14834.97,		-0.2088,		0.999,		0.9967,		6769010,		1411416
5601,		-1,		1,		17.917,		17.821,		17.647,		25.165,		30518.176,		30355.144,		30057.291,		42863.95,		-0.2548,		1.0,		0.9967,		778235,		196503
6538,		-1,		1,		6.211,		6.16,		6.045,		8.513,		12554.72,		12452.715,		12220.453,		17208.839,		-0.2672,		0.9996,		0.9966,		2657653,		707597
6025,		-1,		1,		8.088,		8.04,		7.916,		11.231,		13575.846,		13495.828,		13287.676,		18852.589,		-0.1983,		0.9922,		0.9964,		9838933,		1962903
4848,		-1,		1,		4.103,		4.148,		4.128,		4.758,		6614.337,		6686.004,		6653.686,		7669.491,		-0.2145,		0.9996,		0.9953,		3498909,		750691
5589,		-1,		1,		9.987,		9.931,		9.837,		13.984,		16282.234,		16190.19,		16037.042,		22798.003,		-0.1809,		0.9998,		0.9966,		1801978,		317673
1739,		17,		-1,		14.127,		14.144,		14.133,		14.164,		18201.574,		18223.366,		18209.14,		18249.409,		1.0014,		-0.0596,		0.9973,		22863442,		18784165
4816,		-1,		1,		11.51,		11.646,		11.617,		13.564,		18807.798,		19030.864,		18982.863,		22163.907,		-0.2391,		0.9865,		0.9958,		2674734,		635353
5342,		-1,		1,		14.014,		14.051,		13.952,		16.298,		23949.289,		24012.17,		23841.792,		27850.914,		-0.4337,		0.997,		0.9972,		5365357,		2329884
6566,		-1,		1,		10.966,		10.894,		10.743,		15.243,		17175.355,		17062.433,		16826.61,		23874.062,		-0.3071,		0.9983,		0.9966,		2980624,		911051
4748,		-1,		1,		17.238,		17.433,		17.357,		20.237,		8291.227,		8384.907,		8348.259,		9733.514,		-0.2642,		0.9999,		0.9984,		370696,		92881
6208,		-1,		1,		19.805,		19.697,		19.468,		27.704,		34310.916,		34123.416,		33727.591,		47995.884,		-0.576,		0.9926,		0.9957,		2901426,		1682768
6458,		-1,		1,		6.056,		6.008,		5.917,		8.329,		9829.855,		9751.163,		9604.378,		13518.307,		-0.2595,		0.9952,		0.9973,		5243224,		1362187
4676,		-1,		1,		7.915,		7.962,		7.927,		9.252,		16047.329,		16143.321,		16073.047,		18758.085,		-0.2084,		0.9984,		0.9965,		8512236,		1774142
6336,		-1,		1,		19.963,		19.893,		19.637,		27.918,		35985.591,		35858.878,		35397.582,		50324.38,		-0.5757,		0.9916,		0.9965,		3049402,		1770146
6293,		-1,		1,		19.246,		19.153,		18.888,		26.857,		32194.759,		32037.773,		31595.449,		44925.238,		-0.5256,		0.9994,		0.9951,		1189536,		623141
3904,		-1,		1,		19.257,		19.424,		19.318,		22.504,		25022.015,		25237.979,		25100.196,		29240.572,		-0.7491,		0.997,		0.9966,		2582118,		1939896
4928,		-1,		1,		7.781,		7.8,		7.736,		8.441,		13884.503,		13918.494,		13803.747,		15061.77,		-0.2061,		0.9987,		0.9964,		7396389,		1523248
5861,		-1,		1,		12.08,		12.045,		11.935,		17.007,		19241.263,		19186.272,		19010.932,		27090.147,		-0.1735,		0.9996,		0.9968,		2124270,		361593
5387,		-1,		1,		14.87,		14.9,		14.819,		17.361,		22366.916,		22410.982,		22289.435,		26113.543,		-0.5352,		0.9988,		0.9969,		1571721,		836728
4628,		-1,		1,		4.934,		4.988,		4.939,		5.73,		8044.459,		8133.578,		8052.886,		9342.271,		-0.268,		0.9967,		0.9973,		1158629,		305507
6406,		-1,		1,		10.897,		10.844,		10.704,		15.197,		19874.937,		19778.852,		19523.788,		27717.462,		-0.3107,		0.9977,		0.9972,		3103272,		960944
5407,		-1,		1,		7.825,		7.838,		7.783,		9.063,		13346.635,		13369.781,		13275.082,		15459.13,		-0.4402,		0.9994,		0.9973,		2973721,		1306147
3499,		-1,		1,		9.225,		9.655,		9.561,		10.99,		22501.049,		23549.572,		23320.26,		26805.455,		-0.6008,		0.9995,		0.9976,		2052342,		1222413
6050,		-1,		1,		8.037,		7.993,		7.871,		11.173,		14152.05,		14075.968,		13859.413,		19674.598,		-0.1985,		0.991,		0.9964,		10258839,		2048298
5369,		-1,		1,		11.891,		11.908,		11.815,		13.807,		14815.928,		14836.141,		14721.087,		17202.87,		-0.4128,		0.9998,		0.997,		1349983,		556716
5674,		-1,		3,		9.953,		9.901,		9.815,		13.96,		9120.073,		9072.557,		8993.033,		12791.442,		-0.0598,		1.0,		0.9971,		1005930,		177638
6223,		-1,		1,		10.214,		10.158,		10.015,		14.225,		19085.189,		18981.869,		18714.803,		26581.294,		-0.6875,		0.9999,		0.9956,		583433,		400751
6386,		-1,		1,		19.154,		19.078,		18.837,		26.777,		34706.245,		34569.707,		34131.736,		48519.887,		-0.578,		0.993,		0.9968,		2943115,		1709894
1812,		17,		-1,		24.022,		24.01,		23.873,		23.91,		16382.672,		16374.825,		16281.038,		16306.189,		1.0,		-0.0589,		0.997,		1399899,		1059962
2168,		5,		-1,		6.921,		7.285,		7.261,		7.254,		12022.16,		12655.538,		12613.654,		12601.084,		0.9973,		-0.2012,		0.9973,		21682721,		17267983
6513,		-1,		1,		6.102,		6.054,		5.959,		8.391,		7588.22,		7528.225,		7410.387,		10434.076,		-0.2623,		0.9929,		0.9964,		4043453,		1049710
5337,		-1,		1,		14.335,		14.339,		14.191,		16.609,		24870.795,		24877.346,		24619.782,		28815.979,		-0.4331,		0.9969,		0.9971,		5558932,		2412178
4863,		-1,		1,		7.797,		7.881,		7.823,		9.09,		9021.295,		9118.722,		9050.901,		10516.762,		-0.2129,		0.9997,		0.9965,		2017390,		428119
5292,		-1,		2,		28.327,		28.347,		28.122,		32.969,		23184.607,		23201.052,		23016.86,		26984.417,		-0.2615,		0.9963,		0.9968,		1592377,		834556
5974,		-1,		1,		7.077,		7.032,		6.939,		9.812,		12418.429,		12339.416,		12177.57,		17218.307,		-0.1734,		0.9959,		0.9968,		8070837,		1403810
5459,		-1,		1,		5.026,		5.05,		5.01,		5.787,		8414.837,		8455.229,		8387.746,		9688.747,		-0.4476,		0.9997,		0.9965,		1878213,		838460
6095,		-1,		1,		8.152,		60.597,		7.98,		11.33,		15197.664,		112976.565,		14878.194,		21123.743,		-0.1977,		0.9881,		0.9964,		11026787,		2204957
6130,		-1,		1,		8.254,		8.216,		8.089,		11.487,		15202.462,		15132.197,		14898.306,		21157.426,		-0.1977,		0.9894,		0.9965,		11046659,		2204414
5567,		-1,		1,		17.719,		17.621,		17.42,		24.826,		35124.958,		34930.491,		34532.342,		49213.164,		-0.2576,		0.9999,		0.9972,		898005,		226694
6343,		-1,		1,		29.646,		29.493,		29.15,		41.468,		45672.558,		45437.57,		44908.76,		63885.993,		-0.6586,		0.9989,		0.9964,		1304875,		859589
5714,		-1,		1,		17.16,		17.076,		16.947,		24.162,		31513.593,		31360.312,		31122.435,		44373.621,		-0.2689,		0.9999,		0.9957,		804227,		205610
2056,		9,		-1,		28.275,		28.427,		28.339,		28.35,		913.694,		918.621,		915.781,		916.117,		0.9959,		-0.112,		0.9975,		616483,		497578
4603,		-1,		1,		2.111,		2.122,		2.147,		2.487,		2324.143,		2336.301,		2363.674,		2738.06,		-0.2696,		1.0,		0.9968,		512926,		135339
6473,		-1,		1,		4.261,		4.24,		4.175,		5.825,		8083.301,		8044.747,		7920.908,		11051.513,		-0.2633,		0.9987,		0.9973,		4287854,		1129980
4903,		-1,		1,		7.853,		7.932,		7.852,		9.105,		13532.797,		13668.872,		13532.211,		15691.074,		-0.2064,		0.9989,		0.9964,		7264396,		1498009
5999,		-1,		1,		8.115,		8.084,		7.972,		11.311,		13316.469,		13266.363,		13082.684,		18561.447,		-0.2542,		0.9989,		0.9966,		2428283,		613433
6146,		-1,		3,		20.183,		21.617,		19.901,		28.372,		34642.203,		37102.581,		34158.306,		48696.83,		-0.0569,		0.9999,		0.9956,		21756970,		3711182
6290,		-1,		3,		28.856,		28.7,		28.331,		40.294,		23449.28,		23322.471,		23022.884,		32744.445,		-0.2202,		1.0,		0.9948,		664985,		438149
6335,		-1,		1,		19.669,		19.595,		19.331,		27.478,		33414.154,		33288.627,		32840.631,		46679.874,		-0.5774,		0.9947,		0.9966,		2831310,		1642771
4675,		-1,		1,		7.829,		7.936,		7.9,		9.219,		15237.479,		15444.828,		15374.819,		17942.99,		-0.2088,		0.9986,		0.9962,		8146011,		1698597
6405,		-1,		1,		10.419,		10.368,		10.249,		14.546,		15232.034,		15158.497,		14984.532,		21266.952,		-0.3155,		0.9978,		0.9972,		2380373,		739832
5699,		-1,		1,		9.953,		9.9,		9.808,		13.953,		15977.699,		15892.35,		15744.964,		22398.561,		-0.1794,		0.9999,		0.9963,		1760239,		310853
5384,		-1,		1,		14.554,		14.584,		14.512,		16.996,		5768.651,		5780.74,		5752.133,		6736.459,		-0.5304,		0.9953,		0.9969,		405880,		216273
5862,		-1,		1,		12.195,		12.167,		12.049,		17.168,		21464.254,		21414.488,		21207.662,		30218.023,		-0.1708,		0.9996,		0.9966,		2368338,		403203
3474,		-1,		1,		9.26,		9.738,		9.661,		11.11,		21785.088,		22910.469,		22727.832,		26137.277,		-0.5966,		0.9995,		0.9975,		1993523,		1187930
6748,		-1,		1,		18.01,		18.027,		17.774,		25.261,		35019.153,		35051.757,		34559.79,		49116.629,		-0.2329,		0.9999,		0.9974,		1210702,		280031
3224,		3,		-1,		34.845,		144.96,		34.66,		39.718,		45075.738,		187519.586,		44836.223,		51379.636,		0.9964,		-0.3336,		0.9976,		8647531,		6857092
6026,		-1,		1,		7.985,		7.944,		7.822,		11.094,		12832.544,		12766.631,		12570.651,		17828.597,		-0.1989,		0.9925,		0.9963,		9307478,		1860294
5602,		-1,		1,		17.363,		17.27,		17.105,		24.392,		29761.62,		29602.967,		29320.543,		41810.478,		-0.2636,		1.0,		0.9961,		760578,		193629
4715,		-1,		1,		7.705,		7.798,		7.741,		9.029,		8662.882,		8767.232,		8703.024,		10151.305,		-0.2151,		0.9997,		0.9964,		1933171,		412981
6255,		-1,		1,		28.304,		28.219,		27.899,		39.733,		58019.404,		57844.885,		57188.874,		81446.754,		-0.6599,		0.9983,		0.9948,		1645538,		1085889
4180,		-1,		1,		10.008,		10.006,		9.968,		11.705,		11661.858,		11659.108,		11615.301,		13639.055,		-0.7258,		0.9988,		0.996,		2418487,		1757351
5341,		-1,		1,		14.293,		14.332,		14.267,		16.685,		26640.675,		26712.892,		26592.979,		31099.192,		-0.4328,		0.9962,		0.9972,		5965176,		2588338
4815,		-1,		1,		11.512,		11.647,		11.615,		13.561,		18259.198,		18473.637,		18423.196,		21509.445,		-0.2401,		0.9998,		0.9957,		2603405,		617340
6078,		-1,		1,		15.802,		15.74,		15.5,		22.018,		26781.029,		26676.935,		26270.013,		37316.711,		-0.2423,		0.9947,		0.9968,		4846641,		1177923
3839,		-1,		1,		19.748,		19.758,		19.792,		23.203,		16416.554,		16425.094,		16452.793,		19288.583,		-0.6558,		0.7843,		0.9947,		8065666,		6744951
5293,		-1,		2,		28.851,		28.881,		28.635,		33.575,		50362.269,		50414.022,		49984.662,		58608.113,		-0.2001,		0.9999,		0.9964,		4518994,		1807735
4862,		-1,		1,		11.42,		11.547,		11.485,		13.372,		16808.012,		16993.867,		16902.964,		19680.643,		-0.2114,		0.9987,		0.9966,		3756354,		775707
5975,		-1,		1,		7.043,		7.006,		6.916,		9.777,		7839.039,		7797.701,		7696.667,		10881.716,		-0.1741,		0.9963,		0.9965,		5109282,		889433
5336,		-1,		1,		14.381,		14.392,		14.248,		16.677,		24864.529,		24883.074,		24633.988,		28833.323,		-0.4326,		0.9965,		0.9971,		5560071,		2409938
3563,		1,		-1,		27.19,		28.726,		28.626,		32.857,		31238.061,		33003.563,		32887.764,		37748.815,		0.9993,		-1.0004,		0.9975,		1000869,		661053
5458,		-1,		1,		6.928,		6.959,		6.902,		8.018,		7927.935,		7964.328,		7898.488,		9175.26,		-0.4403,		0.999,		0.9966,		1768003,		778468
6512,		-1,		1,		6.134,		6.089,		5.98,		8.419,		10399.144,		10323.442,		10139.119,		14274.475,		-0.2587,		0.9944,		0.9964,		5550705,		1440353
2169,		-1,		-1,		4.715,		4.959,		4.939,		4.922,		203.823,		214.366,		213.507,		212.78,		-0.2993,		-0.3758,		0.9975,		364874,		290637
5675,		-1,		1,		17.804,		17.72,		17.585,		25.087,		31002.878,		30857.271,		30621.498,		43686.466,		-0.2609,		1.0,		0.9965,		792827,		200685
6387,		-1,		1,		19.077,		18.973,		18.721,		26.607,		30906.393,		30736.711,		30329.271,		43104.749,		-0.5789,		0.9921,		0.9969,		2616397,		1521356
6222,		-1,		1,		20.114,		20.017,		19.771,		28.151,		22802.342,		22692.025,		22413.254,		31913.09,		-0.6704,		0.9996,		0.9956,		658084,		439896
5368,		-1,		1,		23.376,		23.426,		23.274,		27.249,		41528.319,		41617.425,		41347.054,		48408.389,		-0.4004,		0.9974,		0.9968,		3739001,		1499587
6051,		-1,		1,		8.041,		7.996,		7.852,		11.138,		15211.324,		15125.933,		14853.585,		21069.515,		-0.1983,		0.991,		0.9964,		11027062,		2202200
3498,		1,		-1,		13.552,		14.198,		14.089,		16.198,		19931.346,		20882.266,		20721.671,		23824.197,		0.9977,		-0.9995,		0.9977,		1803383,		1062519
5538,		-1,		1,		17.726,		17.618,		17.48,		24.902,		32262.073,		32063.912,		31814.013,		45320.836,		-0.1729,		0.9999,		0.9974,		1675306,		282627
4902,		-1,		1,		7.796,		7.874,		7.797,		9.043,		13252.054,		13384.646,		13253.675,		15371.06,		-0.2066,		0.9984,		0.9968,		7113188,		1467535
6342,		-1,		1,		28.496,		28.337,		27.977,		39.776,		52933.495,		52639.355,		51970.705,		73887.386,		-0.6592,		0.999,		0.9964,		1515086,		998300
5715,		-1,		1,		17.925,		17.837,		17.695,		25.235,		31898.998,		31742.947,		31489.895,		44907.301,		-0.2585,		1.0,		0.9968,		808920,		204341
